customer_key,customer_id,customer_name,area,customer_segment,registration_date
97,3660263,Jagdish Bains,Phagwara,Regular,May-23
98,3730316,Ishanvi Shankar,Berhampore,Regular,Mar-23
99,3786105,Ojas Sankaran,Kirari Suleman Nagar,New,Jun-24
100,3844290,Yashawini Thaman,Berhampore,Inactive,Oct-23
101,3872421,Ladli Saran,Panvel,Premium,Jul-23
102,3875480,Harshil Mital,Berhampur,Inactive,May-24
103,3893903,Bimala Sura,Bathinda,New,Mar-23
104,3897936,Maanav Singh,Pudukkottai,Premium,Sep-23
105,3999964,Ansh Minhas,Orai,Premium,Aug-23
106,4055790,Noah Malhotra,Jamnagar,Regular,Nov-23
107,4057678,Brijesh Khalsa,Kadapa,Inactive,May-23
108,4192351,Leela Date,Nandyal,Inactive,Jan-24
109,4200802,Chakrika Gaba,Ramgarh,Inactive,Nov-23
110,4356173,Jalsa Khatri,Rajkot,New,Sep-24
111,4378755,Oscar Ratta,Pali,Premium,Nov-23
112,4386273,Jagrati Sengupta,Nandyal,Inactive,Jun-24
113,4394659,Xalak Goel,Pune,New,Aug-23
114,4438410,Siya Mittal,Panipat,Inactive,Oct-24
115,4439806,Balendra Sethi,Mathura,New,Apr-24
116,4444673,Chatresh Patla,Srikakulam,New,Jun-23
117,4458329,Nimrat Sandal,Mira-Bhayandar,Inactive,Jul-24
118,4543215,Farhan Soni,Satna,Premium,Oct-23
119,4545935,Aayush Ahluwalia,Warangal,Regular,Aug-24
120,4594944,Hardik Mane,Cuttack,Inactive,Mar-24
121,4597433,Lipika Kumer,Tadepalligudem,Inactive,Apr-24
122,4606533,Anusha Bhagat,Rajpur Sonarpur,Premium,Jul-24
123,4618801,David Saran,Jodhpur,Premium,Nov-23
124,4758426,Qushi Dash,Vijayawada,New,Jan-24
125,4789829,Balvan Shah,Rourkela,Regular,Nov-24
126,4849477,Caleb Ram,Hosur,Premium,Jul-23
127,4862761,Maya Chatterjee,Eluru,Premium,Aug-23
128,4869199,Advik Bajwa,Siwan,New,Oct-24
129,4940671,Sarthak Doshi,Silchar,Inactive,Jun-24
130,4988545,Prisha Jha,Anantapuram,Regular,Apr-23
131,5001749,Dayamai Chanda,Kota,Inactive,Jun-23
132,5009458,Yasti Choudhary,Thiruvananthapuram,Inactive,Aug-23
133,5039883,Gavin Garg,Purnia,Inactive,Dec-23
134,5043760,Chatresh Dara,Davanagere,Regular,Nov-23
135,5135207,Xalak Mittal,Moradabad,Premium,Aug-23
136,5140660,Tripti Loke,Akola,Inactive,Aug-23
137,5226128,Wridesh Mander,Bhimavaram,New,Mar-24
138,5228136,Oeshi Mallick,Ambarnath,Premium,Sep-24
139,5238055,Chandani D’Alia,Guntur,Regular,Jan-24
140,5277675,Vansha Deol,Ghaziabad,Premium,Oct-24
141,5369136,Yasti Wagle,Ambala,Regular,Sep-24
142,5386246,Oeshi Dhillon,Kadapa,Inactive,May-23
143,5418547,Qushi Devi,Pune,Regular,Aug-23
144,5540556,Lakshit Balan,Gangtok,Regular,Aug-23
145,5607734,Riya Batta,Jamshedpur,Premium,Sep-24
146,5700842,Waida Trivedi,Amravati,Regular,Sep-24
147,5712468,Zinal Shan,Thanjavur,Inactive,Mar-24
148,5716817,Xalak Master,Aurangabad,Inactive,Mar-24
149,5751638,Xiti Wagle,Aligarh,New,Sep-24
150,5754255,Radha Rana,Mango,Inactive,Nov-23
151,5763963,Chandran Seth,Pimpri-Chinchwad,Regular,Mar-23
152,5901440,Faris Chopra,Sambhal,Premium,May-24
153,5961261,Vrishti Memon,Varanasi,Premium,Jun-23
154,6025470,Isaac Mander,Sagar,Premium,Aug-24
155,6061349,Gautami Trivedi,Haldia,Regular,Mar-24
156,6081270,Caleb Sane,Gaya,Inactive,Aug-24
157,6150721,Vaishnavi Master,Panihati,New,Nov-23
158,6184558,Gaurang Grewal,Tezpur,Regular,Jun-23
159,6186471,Dominic Koshy,Chittoor,New,Sep-24
160,6187807,Jairaj Tata,Dindigul,New,Aug-23
161,6245778,Reva Shanker,Guntakal,Premium,Jan-24
162,6247821,Mekhala Vora,Panvel,Regular,Jul-23
163,6291143,Banjeet Oak,Yamunanagar,Inactive,Aug-23
164,6319646,Rehaan Suresh,Udupi,Regular,Feb-24
165,6335221,Lajita Loyal,Rajpur Sonarpur,Premium,Jan-24
166,6344345,Shaurya Chhabra,Burhanpur,Premium,Oct-24
167,6344788,Max Mandal,Bareilly,Premium,Feb-24
168,6367136,Yashica Jayaraman,Rohtak,Regular,Feb-24
169,6390687,Shivansh Dasgupta,Alwar,Regular,Aug-24
170,6398761,Kabir Kala,Naihati,Inactive,Aug-24
171,6459100,Shivansh Mand,Agra,Premium,Oct-24
172,6579892,Indrajit Sodhi,Silchar,Regular,Oct-23
173,6617417,Pavani Talwar,New Delhi,Inactive,Oct-24
174,6622751,Nachiket Ratti,Thiruvananthapuram,Inactive,Jun-24
175,6637282,Damini Lad,North Dumdum,Inactive,Oct-23
176,6668498,Bimala Prakash,Ratlam,Inactive,May-24
177,6724509,Guneet Brahmbhatt,Munger,New,Apr-23
178,6756256,Ijaya Goel,Bellary,Premium,Jul-23
179,6812439,Vasana Mand,Bhalswa Jahangir Pur,Premium,Oct-24
180,6853981,Radhika Bahri,Machilipatnam,Inactive,Dec-23
181,6856445,Meghana Mangal,Darbhanga,New,Jan-24
182,6867315,Yash Lata,Imphal,Premium,Aug-24
183,6959437,Rushil Prakash,Jammu,Premium,Jul-24
184,6982488,Vanya Sachdev,Jalna,New,Jan-24
185,6992801,Yochana Nagy,Rajkot,Premium,Jun-23
186,7076456,Upkaar Munshi,Ichalkaranji,Regular,Feb-24
187,7228206,Anmol Koshy,Jalgaon,New,May-23
188,7288562,Triya Singhal,Dewas,New,Jun-23
189,7333934,Om Chand,Deoghar,New,Dec-23
190,7378768,Shravya Dada,Bellary,New,May-23
191,7522036,Kashvi Karan,Hospet,Premium,Jan-24
192,7551173,Chandran Sur,Ghaziabad,New,Oct-23
193,7591711,Triya Kakar,Nagercoil,Regular,Jan-24
194,7687234,Farhan Sheth,Naihati,Inactive,Sep-24
195,7728356,Vasana Bumb,Raebareli,New,Mar-24
196,7728406,Leela Bansal,Ranchi,Inactive,Jan-24
197,7923550,Amruta Grewal,Panihati,New,Sep-23
198,8025622,Daksh Bali,Bulandshahr,Regular,Mar-24
199,8073518,Mekhala Pandit,Nellore,Premium,Jan-24
200,8122530,Fiyaz Rai,Tadepalligudem,Inactive,May-23
201,8138417,Champak Narayan,Nangloi Jat,Premium,Jun-24
202,8155924,Suhani Kanda,Patiala,Regular,Mar-24
203,8164639,Pushti Dhillon,Gandhidham,Premium,May-24
204,8205155,Vrishti Din,Sagar,New,Aug-23
205,8228843,Vritti Halder,Bangalore,Inactive,Jul-24
206,8241122,Tristan Zachariah,Ambarnath,Inactive,Sep-24
207,8351747,Darika Kaul,Khammam,Regular,Sep-24
208,8361353,Pahal Kibe,Bhiwani,New,Feb-24
209,8375298,Yahvi Vora,Begusarai,Premium,Jun-23
210,8383197,Nikita Ravi,Tiruppur,New,Oct-23
211,8384106,Urishilla Upadhyay,Hubli–Dharwad,Premium,Aug-23
212,8395343,Ekani Pingle,Bathinda,New,Mar-24
213,8395610,Ranveer Subramanian,Erode,Inactive,Mar-24
214,8457972,Yauvani Gaba,Asansol,New,Feb-24
215,8513589,Ishaan Nayak,Bathinda,New,Feb-24
216,8536503,Ubika Om,Ramagundam,Regular,Apr-23
217,8628482,Krishna Mani,Bhiwandi,New,Dec-23
218,8632679,Ayaan Bal,North Dumdum,Regular,Jul-23
219,8651281,Jonathan Seshadri,Ranchi,Premium,Oct-24
220,8655667,Ayaan Upadhyay,Gwalior,Premium,Jul-23
221,8733344,Chandani Mishra,Jammu,Premium,Feb-24
222,8734819,Balveer Verma,Surendranagar Dudhrej,New,Nov-23
223,8739903,Yamini Bir,Thane,Regular,Jul-23
224,8791577,Warda Kohli,Madhyamgram,Regular,Aug-23
225,8817168,Lajita Sharma,Mehsana,Inactive,Aug-23
226,8881320,Tanmayi Sem,Uluberia,Regular,Oct-24
227,8886587,Aishani Sura,Moradabad,Regular,Aug-23
228,8955057,Zashil Goyal,Bhubaneswar,Regular,Oct-24
229,8967266,Theodore Bhakta,Imphal,Regular,Sep-24
230,9048817,Bhavika Banik,Udaipur,Inactive,May-23
231,9049965,Ishani Kalla,Raichur,New,Apr-24
232,9097480,Hamsini Verma,Bihar Sharif,Premium,Dec-23
233,9105829,David Gopal,Begusarai,Regular,Jul-23
234,9107360,Anvi Iyer,Dindigul,Inactive,Apr-24
235,9195970,Riya Uppal,Karawal Nagar,New,Jun-24
236,9246851,Aarush Dixit,Ujjain,New,Oct-24
237,9274874,Kashvi Ganguly,Arrah,Regular,Sep-24
238,9278983,Madhav Guha,Bathinda,Inactive,Feb-24
239,9314637,Aarav Sandal,Bhubaneswar,Inactive,Jul-24
240,9335625,Falguni Sangha,Coimbatore,Premium,Jul-24
241,9347990,Aarush Pingle,Nizamabad,Premium,Apr-24
242,9388085,Faris Swaminathan,Jamnagar,New,Mar-24
243,9401406,Lucky Babu,Panipat,Regular,Nov-23
244,9419030,Thomas Doctor,Avadi,Inactive,Mar-24
245,9423628,Chanakya Dutta,Malegaon,Inactive,Sep-23
246,9450435,Sai Chaudhry,Bellary,Regular,Nov-23
247,9551011,Idika Chand,Navi Mumbai,Inactive,Apr-23
248,9573071,Ranveer Mahal,Thrissur,New,Nov-23
249,9641623,Samarth Chander,Kota,Premium,Sep-23
250,9650263,Samar Vasa,Gandhidham,New,Apr-23
251,9702217,David Doshi,Shahjahanpur,New,Sep-24
252,9738801,Damyanti Nadkarni,Nellore,Inactive,Mar-24
253,9796585,Damini Jha,Danapur,Inactive,Nov-23
254,9900288,Jasmit Pall,Gulbarga,Regular,Jan-24
255,9981089,Ikbal Hari,Proddatur,Premium,Oct-23
256,9987182,Tristan Hegde,Darbhanga,Regular,Aug-24
257,10019218,Elijah Brar,Parbhani,New,Aug-23
258,10038382,Rajata Balay,Bahraich,Inactive,Aug-23
259,10048910,Pratyush Sawhney,Kozhikode,New,Sep-23
260,10088428,Tara Raghavan,Khammam,Premium,Jan-24
261,10210309,Deepa Dewan,Kharagpur,Inactive,May-24
262,10225164,Siya Parmer,Dehri,Inactive,Sep-24
263,10240052,Gagan Kakar,Guntakal,Regular,Mar-24
264,10285414,Meera Nigam,Shimla,Inactive,Jul-23
265,10418604,Xavier Agrawal,Gandhidham,New,Apr-24
266,10508763,Anamika Issac,Ratlam,Premium,Dec-23
267,10524732,Bhavna Ramesh,Rajahmundry,Regular,Nov-23
268,10541231,Dayita Yadav,Bhiwandi,Premium,Jul-24
269,10562528,Udant Dada,Udaipur,Premium,Jul-24
270,10605484,Rachit Chakraborty,Visakhapatnam,Inactive,May-24
271,10608845,Aadi Gole,Bhilwara,Premium,Mar-24
272,10642655,Omaja Warrior,Gorakhpur,Premium,Nov-23
273,10663246,Madhav Chana,Gandhidham,Regular,Oct-23
274,10683250,Manthan Sundaram,Bhagalpur,Regular,Jul-24
275,10686446,Onkar Ratti,Tadipatri,New,Jul-23
276,10694081,Faris Raval,Meerut,Regular,Oct-23
277,10700664,Rehaan Tara,Raebareli,Regular,Oct-24
278,10706516,Charita Srivastava,Miryalaguda,Regular,Aug-24
279,10729474,Gautami Pingle,Howrah,New,Oct-23
280,10745302,Yochana Shukla,Indore,Premium,Oct-23
281,10769994,Tripti Tandon,Begusarai,Regular,May-23
282,10789681,Anvi Rajan,Dehradun,Regular,Jun-23
283,10796846,Waida Sanghvi,Tiruvottiyur,Regular,Jun-24
284,10797688,Sudiksha Mannan,Bathinda,New,May-23
285,10830043,Gabriel Iyer,Hospet,New,Oct-23
286,10855630,Anya Rajagopal,Rajahmundry,Premium,Jun-24
287,10857389,Nihal Mital,Hindupur,Inactive,Jul-24
288,10945990,Frado Keer,Burhanpur,New,Mar-24
289,10951674,Anmol Lad,Guna,Inactive,Apr-23
290,11047835,Nathaniel Reddy,Tinsukia,Regular,Jan-24
291,11063505,Garima Pillay,Udaipur,New,Nov-24
292,11071601,Ojas Ahuja,Buxar,Inactive,Jul-23
293,11082181,Pratyush Munshi,Kalyan-Dombivli,Premium,Feb-24
294,11143197,Siya Mani,Bulandshahr,Regular,Mar-23
295,11153360,Libni Sastry,Amaravati,Inactive,Apr-24
296,11202130,Zehaan Lad,Bhilwara,Premium,Nov-23
297,11228463,Theodore Cherian,Kanpur,Inactive,Jul-23
298,11254582,Caleb Krish,Machilipatnam,Inactive,Aug-23
299,11387110,Om Sastry,Coimbatore,Premium,Aug-23
300,11389698,Chameli Grover,Jammu,Premium,Jun-23
301,11446157,Nidhi Borra,Shimoga,Inactive,Sep-24
302,11470681,Yashawini Sunder,Munger,New,Aug-23
303,11478478,Vedika Dugal,Ahmednagar,Inactive,Oct-23
304,11493300,Yatan Bedi,Durg,Regular,Jul-24
305,11493380,Jhalak Peri,Madurai,Regular,Apr-23
306,11503405,Damyanti Dua,Amritsar,Regular,Jan-24
307,11540364,Jonathan Virk,Firozabad,New,Sep-24
308,11562458,Parth Raghavan,Firozabad,Regular,Nov-23
309,11616535,Vrinda Bassi,Tadepalligudem,Premium,Aug-24
310,11636968,Frado Ravel,Srinagar,Inactive,Sep-24
311,11705793,Tripti Barad,Dindigul,New,Apr-24
312,11775073,Keya Ganesan,Morbi,Regular,Jun-23
313,11928321,Nikita Palan,Maheshtala,Inactive,Jun-24
314,12059049,Jagdish Mander,Nizamabad,Regular,Sep-24
315,12077371,Gautami Maharaj,Sambalpur,Premium,Oct-23
316,12088552,Aditya Barman,Patiala,Premium,Apr-23
317,12090436,Tripti Yogi,Asansol,Regular,Mar-23
318,12141418,Faras Patla,Ambala,Inactive,Sep-23
319,12184293,Dayita Mand,Phagwara,Inactive,Jun-23
320,12272282,Dev Bal,Sikar,Regular,Apr-23
321,12277039,Manthan Trivedi,Unnao,Regular,Sep-23
322,12302179,Nikita Nagi,Tumkur,Premium,Feb-24
323,12305040,Guneet Jayaraman,Noida,Regular,Jul-23
324,12338529,Rishi Nayak,Bangalore,New,Oct-24
325,12397668,Ojasvi Mahal,Guwahati,Premium,May-24
326,12402437,Kamala Rama,Rajahmundry,New,Jun-24
327,12415659,Damini Wagle,Ambala,New,May-24
328,12455156,Ijaya Agrawal,Eluru,Inactive,Apr-23
329,12469338,Lavanya Dani,Coimbatore,Inactive,Jan-24
330,12500465,Barkha Chakrabarti,Phusro,Premium,Oct-23
331,12507907,Maanas Dugal,Nangloi Jat,Regular,Nov-23
332,12531927,Ayush Tripathi,Bhiwandi,New,May-24
333,12560669,Mugdha Acharya,Sangli-Miraj & Kupwad,Inactive,Aug-24
334,12574626,Nitesh Joshi,Amritsar,Inactive,May-24
335,12591752,Zilmil Krishna,Singrauli,Inactive,May-23
336,12622901,Januja Kaul,Bareilly,Inactive,Aug-24
337,12655794,Teerth Mand,Hosur,Regular,Mar-24
338,12695670,Anya Borde,Jaipur,Premium,Sep-23
339,12698783,Jyoti Lata,Karnal,Inactive,Oct-24
340,12755730,Indrajit Mahal,Howrah,Regular,Aug-23
341,12769552,Chameli Ranganathan,Ratlam,Regular,May-23
342,12778027,Eshana Prabhu,New Delhi,New,May-23
343,12799092,William Sarkar,Unnao,Inactive,May-24
344,12814732,Janya Soni,Karaikudi,Regular,May-23
345,12832151,Ekavir Bhalla,Baranagar,Inactive,Jul-23
346,12851610,Unnati Narayanan,Proddatur,Inactive,Aug-24
347,12867472,Ishanvi Tripathi,Mehsana,Premium,Oct-24
348,12967305,Bhavani Sood,Durg,New,Dec-23
349,12988801,Darika Verma,Gurgaon,New,Sep-24
350,13071673,Ijaya Bir,Jhansi,Regular,Apr-24
351,13122744,Yashvi Dalal,Kalyan-Dombivli,Regular,Feb-24
352,13130974,Divya Garde,Eluru,Inactive,Jul-24
353,13164195,Fitan Uppal,Durg,Premium,Nov-23
354,13189939,Ishanvi Raman,Bhopal,Inactive,May-24
355,13197985,Gaurika Balasubramanian,Nanded,Premium,Apr-23
356,13251137,Ekalinga Vasa,Rampur,Premium,May-23
357,13265605,Yatin Krishnamurthy,Kollam,Premium,Nov-24
358,13284996,Irya Dayal,Phagwara,Regular,Apr-24
359,13383642,Xavier Kashyap,Mumbai,Regular,Apr-24
360,13415362,Tristan Grover,Dibrugarh,Inactive,Jun-23
361,13424885,Azaan Modi,Malda,Premium,Jan-24
362,13441874,Hemang Sandal,Berhampur,Inactive,Apr-23
363,13455530,Yoshita Varty,Saharsa,Inactive,Apr-24
364,13461704,Zayan Ratta,Nanded,Premium,Apr-24
365,13462905,Bimala Rau,Farrukhabad,Premium,Mar-23
366,13465850,Anmol Koshy,Danapur,Premium,Sep-23
367,13492411,Ekaraj Mahal,Patna,Regular,Jul-23
368,13494314,Eesha Nadig,Mahbubnagar,Premium,Jun-23
369,13567338,Wahab Borah,Hubli–Dharwad,Premium,Oct-24
370,13581527,Jhalak Kalla,Hajipur,New,Jun-24
371,13585482,Meera Dara,Buxar,Inactive,Jul-23
372,13604883,Siddharth Kata,Karimnagar,Premium,Sep-24
373,13651980,Abhiram Basak,Ranchi,Inactive,May-23
374,13760839,Anvi Savant,Guwahati,Premium,Aug-23
375,13796199,Pallavi Mutti,Deoghar,Regular,May-23
376,13850004,Umang Ramakrishnan,Kozhikode,Premium,Dec-23
377,13871547,Anthony Dhawan,Bhilwara,Premium,Jun-23
378,13939675,Edhitha Lal,Amroha,New,Apr-24
379,13963450,Hemang Kakar,Malegaon,New,Mar-24
380,13978108,Oscar Oak,Kota,Premium,Mar-24
381,14006996,Saumya Rau,Buxar,Inactive,Jul-23
382,14079305,Jeevika Narain,Warangal,Premium,Sep-24
383,14114543,Vedika Aurora,Muzaffarnagar,Inactive,Mar-23
384,14161586,Aachal Nazareth,Bettiah,Premium,Jun-23
385,14167111,Balvan Raman,Kishanganj,New,Aug-23
386,14207332,Ucchal Uppal,Aligarh,Regular,Jan-24
387,14255231,Advika Taneja,Surendranagar Dudhrej,Inactive,Jun-23
388,14272050,Rajata Misra,Satna,New,Nov-23
389,14275043,Tanvi Lala,Bhilwara,New,Jan-24
390,14294171,Ikshita Bava,Saharanpur,Regular,Dec-23
391,14323169,Jai Raj,Firozabad,Inactive,May-23
392,14330483,Vasatika Konda,Durgapur,Premium,Aug-23
393,14367270,Ganga Mody,Jabalpur,Inactive,Mar-24
394,14428954,Viraj Tank,Medininagar,Premium,Oct-24
395,14458150,Kamya Ratta,Sambhal,Premium,Jul-24
396,14472401,Ayaan Rege,Thiruvananthapuram,Regular,Apr-24
397,14479168,Sai Sawhney,Rewa,New,Feb-24
398,14519263,Edhitha Sawhney,Ajmer,Premium,Jun-24
399,14632090,Ria Baria,Miryalaguda,Regular,Mar-24
400,14693393,Chavvi Iyer,Proddatur,New,May-24
401,14705462,Nakul Pal,Bahraich,Premium,Sep-23
402,14839726,Lohit Lanka,Mira-Bhayandar,Regular,Jan-24
403,14940427,Sara Rajagopalan,Loni,Premium,Jun-23
404,14944819,Triya Patla,Anand,Premium,Nov-23
405,14974554,Kevin Magar,Baranagar,New,Oct-24
406,14991661,Logan Nigam,Chandrapur,New,Oct-23
407,14994388,Charles Wason,Gwalior,Premium,Apr-24
408,15043066,Bakhshi Majumdar,Rohtak,Inactive,Feb-24
409,15066187,Vedant Keer,Jammu,Regular,Mar-23
410,15144290,Omkaar Swamy,Nizamabad,New,Oct-24
411,15221182,Charles Munshi,Visakhapatnam,Inactive,Aug-23
412,15236510,Pooja Prasad,Serampore,New,Dec-23
413,15345667,Lila Chanda,Durg,Premium,Aug-23
414,15391556,Ria Pau,Nellore,Inactive,Oct-23
415,15417130,Henry Arora,Indore,New,Mar-24
416,15484407,Saksham Kaur,Kakinada,Premium,Jun-24
417,15487049,Aadhya Cherian,Motihari,New,Feb-24
418,15529446,Pallavi Goda,Haridwar,Premium,Oct-23
419,15534747,Oviya Luthra,Kadapa,Inactive,Sep-23
420,15545780,Ekansh Baria,Ambala,Regular,Apr-24
421,15568831,David Swamy,Jammu,Premium,Oct-23
422,15599514,Yashodhara Magar,Tezpur,Regular,Apr-23
423,15631726,Ucchal Murthy,Tezpur,Inactive,Feb-24
424,15661674,Jyoti Ray,Vadodara,Regular,Nov-23
425,15661901,Warda Wagle,Kumbakonam,Regular,Oct-24
426,15733078,Ekanta Shukla,Phagwara,Regular,Aug-23
427,15796277,Finn Pau,Loni,New,Aug-24
428,15808945,Vrinda Khurana,Gangtok,New,Apr-24
429,15830066,Rishi Krishnan,Mira-Bhayandar,New,Oct-24
430,15897933,Mohini Rao,Jabalpur,Regular,Mar-23
431,15931134,Azaan Gara,Darbhanga,Inactive,Mar-24
432,16082651,Amara Sundaram,Junagadh,Regular,Nov-23
433,16230299,Urvi Koshy,Pune,Regular,Aug-24
434,16256136,Panini Mangal,Aurangabad,Regular,Sep-23
435,16341776,Oviya Gera,Sikar,New,Jul-23
436,16359370,Harsh Gaba,South Dumdum,Premium,Dec-23
437,16376189,Samaksh Srivastava,Chapra,Premium,Feb-24
438,16379942,Harshil Kuruvilla,Orai,Inactive,Apr-24
439,16400639,Anvi Dutta,Pallavaram,Premium,Sep-23
440,16410155,Darika Barman,Bidhannagar,Premium,Apr-23
441,16410708,Zinal Bahri,Gudivada,Regular,Oct-24
442,16420489,Divya Peri,Nandyal,New,Apr-24
443,16424635,Fitan Kade,Mirzapur,Premium,Oct-24
444,16435594,Aryan Ranganathan,Jorhat,Premium,Oct-24
445,16436211,Daniel Hans,Tadepalligudem,Regular,Nov-23
446,16436359,Yashica Ramesh,Kota,New,Jul-24
447,16448993,Chakradev Krishnan,Korba,Inactive,Sep-23
448,16484167,Hemal Bala,Guwahati,New,Apr-23
449,16485871,Chaman Kota,Salem,Premium,Jun-24
450,16543242,Vihaan Korpal,Darbhanga,Premium,Jun-23
