order_key,customer_id,customer_name,area,customer_segment,order_id,order_date,product_id,product_name,category,brand,quantity,unit_price,total_cost,payment_method,delivery_status,delay_reason,rating,feedback_category,sentiment
21,39674723,Advika Keer,Bettiah,New,38408517,26-11-2023,378287,Lemonade,Cold Drinks & Juices,Ramesh-Jain,2,332.84,665.68,Cash,Significantly Delayed,Traffic,3,Customer Service,Neutral
22,24621386,Maanav Raghavan,Rajahmundry,Premium,39405769,07-04-2023,880510,Bread,Dairy & Breakfast,Roy-Char,2,951.43,1902.86,Card,Significantly Delayed,Traffic,4,Product Quality,Positive
23,625395,Leena Loyal,Siliguri,Premium,39791095,06-04-2024,700048,Dish Soap,Household Care,Khalsa-Bhavsar,3,141.28,423.84,Card,Slightly Delayed,Traffic,4,Delivery,Neutral
24,70363568,Ekavir Sunder,Shahjahanpur,New,42332130,17-10-2024,365133,Dish Soap,Household Care,Hans Inc,1,915.45,915.45,Wallet,On Time,Not Applicable,3,Customer Service,Neutral
25,55693909,Darsh Pandey,Narasaraopet,Premium,47467466,05-09-2023,120385,Pet Treats,Pet Care,Dubey-Sarin,1,597.91,597.91,Wallet,On Time,Not Applicable,5,App Experience,Positive
26,96806748,Qabil Nath,Bareilly,New,47953423,27-02-2024,585299,Pet Treats,Pet Care,Sharma   Chandra and Prashad,1,799.46,799.46,UPI,Slightly Delayed,Traffic,4,Product Quality,Neutral
27,54893418,Chatresh Prashad,Dibrugarh,Premium,50845914,09-04-2023,478531,Carrots,Fruits & Vegetables,Uppal Group,3,825.46,2476.38,Card,On Time,Not Applicable,3,Customer Service,Negative
28,81605722,Bachittar Morar,Salem,Regular,52324496,23-02-2024,888807,Bread,Dairy & Breakfast,Arya Group,2,230.58,461.16,Card,Slightly Delayed,Traffic,2,Customer Service,Negative
29,63060947,Kamala Bobal,Hindupur,New,56705032,16-11-2023,692985,Pulses,Grocery & Staples,Wable   Sankaran and Hari,2,197.39,394.78,UPI,Significantly Delayed,Traffic,4,App Experience,Neutral
30,67708491,Dalbir Kata,Patiala,Inactive,59461109,06-05-2023,991434,Cookies,Snacks & Munchies,Mital-Oza,3,237.62,712.86,UPI,On Time,Not Applicable,1,App Experience,Negative
31,16410155,Darika Barman,Bidhannagar,Premium,63363146,12-07-2023,136533,Eggs,Dairy & Breakfast,Raghavan   Magar and Shanker,2,826.21,1652.42,Cash,Significantly Delayed,Traffic,5,Product Quality,Positive
32,47577193,Chaaya Wable,Dehri,Premium,65827885,27-07-2023,324809,Bread,Dairy & Breakfast,Sidhu PLC,3,608,1824,Cash,On Time,Not Applicable,1,Delivery,Negative
33,83236183,Zayan Kalla,Panihati,New,69932727,28-08-2024,753354,Shampoo,Personal Care,Sant-Mahajan,3,423.56,1270.68,Wallet,On Time,Not Applicable,4,Product Quality,Neutral
34,13189939,Ishanvi Raman,Bhopal,Inactive,71793937,20-04-2024,94225,Toilet Cleaner,Household Care,Gulati   Ram and Sarkar,1,77.11,77.11,Cash,On Time,Not Applicable,5,Product Quality,Positive
35,82286725,Unnati Mishra,Orai,Premium,72748189,18-06-2023,36412,Dish Soap,Household Care,Muni-Shankar,3,397.68,1193.04,Wallet,Significantly Delayed,Traffic,4,Product Quality,Neutral
36,74172010,Urvi Rajagopalan,Tadipatri,Inactive,77053363,04-05-2023,883013,Eggs,Dairy & Breakfast,Chahal Group,3,989.88,2969.64,UPI,On Time,Not Applicable,4,App Experience,Neutral
37,39645619,Indira Jaggi,Maheshtala,Regular,79029185,06-06-2024,820973,Baby Wipes,Baby Care,Lall LLC,3,114.52,343.56,Cash,Significantly Delayed,Traffic,2,App Experience,Negative
38,21677923,Lipika Mukhopadhyay,Kakinada,New,80296810,05-06-2024,33955,Frozen Pizza,Instant & Frozen Food,Baral Group,2,186.08,372.16,Cash,On Time,Not Applicable,1,Delivery,Negative
39,92583164,Amruta Lad,Burhanpur,Premium,87784691,29-09-2024,70969,Carrots,Fruits & Vegetables,Mohan Group,2,631.7,1263.4,Wallet,Slightly Delayed,Traffic,3,App Experience,Neutral
40,37947202,Eta Srinivasan,Nandyal,Regular,89194627,06-03-2024,897083,Detergent,Household Care,Dutta-Halder,3,972.69,2918.07,UPI,On Time,Not Applicable,2,Product Quality,Negative
41,91130614,Rayaan Seth,Jabalpur,Inactive,99708985,19-11-2023,760684,Rice,Grocery & Staples,Kanda-Gupta,2,71.6,143.2,Card,Slightly Delayed,Traffic,2,App Experience,Negative
42,47590944,Ayushman Chawla,Bhubaneswar,New,99905061,16-11-2023,492958,Lotion,Personal Care,Acharya PLC,1,84.2,84.2,Card,Slightly Delayed,Traffic,3,Product Quality,Negative
43,43377076,Imaran Krishnan,Junagadh,New,101613683,29-06-2023,784827,Baby Wipes,Baby Care,Balakrishnan Ltd,2,274.25,548.5,Card,On Time,Not Applicable,4,App Experience,Neutral
44,26903313,Chandresh Sandal,Bhimavaram,Regular,101816977,20-02-2024,677169,Cough Syrup,Pharmacy,Char-Divan,2,261.03,522.06,Wallet,Slightly Delayed,Traffic,5,Delivery,Positive
45,40392019,Yashvi Sur,Eluru,Premium,102639985,27-08-2023,89084,Milk,Dairy & Breakfast,Wali   Virk and Iyer,2,598.83,1197.66,Wallet,Slightly Delayed,Traffic,4,Product Quality,Positive
46,65406127,Anita Ganguly,Nangloi Jat,Premium,103589925,17-05-2024,542300,Popcorn,Snacks & Munchies,Gulati-Tandon,3,255.35,766.05,UPI,Slightly Delayed,Traffic,2,Delivery,Negative
47,38615653,Xiti Sachdeva,Motihari,Regular,105578518,03-03-2024,329351,Cheese,Dairy & Breakfast,Lala   Kalita and Sathe,3,310.87,932.61,Cash,Significantly Delayed,Traffic,5,App Experience,Positive
48,57566548,Oliver Tella,Arrah,Regular,110303417,24-05-2024,654623,Chips,Snacks & Munchies,Pradhan and Sons,3,422.14,1266.42,Wallet,On Time,Not Applicable,4,Customer Service,Positive
49,28413467,Leena Mane,Kolhapur,New,111296281,28-05-2024,378230,Nuts,Snacks & Munchies,Kala-Vig,3,166.42,499.26,UPI,On Time,Not Applicable,3,Delivery,Neutral
50,35144658,Tristan Gulati,Bilaspur,Premium,112658009,11-07-2023,604184,Toilet Cleaner,Household Care,Gaba   Sodhi and Choudhary,1,397.55,397.55,Cash,On Time,Not Applicable,3,App Experience,Neutral
51,13251137,Ekalinga Vasa,Rampur,Premium,114306835,06-02-2024,448752,Toilet Cleaner,Household Care,Batta-Doctor,3,160.07,480.21,Wallet,Slightly Delayed,Traffic,4,Delivery,Positive
52,46875863,Charita Anne,Bidar,Regular,114851727,04-10-2024,11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,1,127.16,127.16,Wallet,On Time,Not Applicable,3,Delivery,Negative
53,65294340,Jasmit Kota,Jamalpur,New,120178110,21-01-2024,739534,Toilet Cleaner,Household Care,Gera   Narang and Karpe,3,994.56,2983.68,Wallet,Slightly Delayed,Traffic,3,Product Quality,Negative
54,92455970,Bhavna Chada,Navi Mumbai,Inactive,120996684,02-10-2023,690565,Cookies,Snacks & Munchies,Roy   Seth and Patla,2,951.27,1902.54,Card,Slightly Delayed,Traffic,3,Product Quality,Negative
55,94529626,Gavin Kaur,Pudukkottai,New,121874867,28-03-2023,952124,Onions,Fruits & Vegetables,Wali   Sood and Bala,3,127.08,381.24,UPI,On Time,Not Applicable,5,Delivery,Positive
56,14693393,Chavvi Iyer,Proddatur,New,125551624,12-08-2024,669378,Potatoes,Fruits & Vegetables,Chadha and Sons,2,212.14,424.28,Card,On Time,Not Applicable,5,Customer Service,Positive
57,35455991,Aryan Balakrishnan,Tezpur,New,127277515,30-09-2023,654297,Potatoes,Fruits & Vegetables,Chandran-Dass,3,13.25,39.75,Card,Slightly Delayed,Traffic,4,Delivery,Positive
58,48228547,Anika Baria,Katihar,Inactive,131913576,17-10-2023,871592,Carrots,Fruits & Vegetables,Shankar   Nadkarni and Kumer,3,870.29,2610.87,Wallet,Slightly Delayed,Traffic,2,Delivery,Negative
59,10796846,Waida Sanghvi,Tiruvottiyur,Regular,135053432,24-04-2023,500739,Bread,Dairy & Breakfast,Aggarwal Group,1,359.98,359.98,Wallet,Slightly Delayed,Traffic,4,Customer Service,Positive
60,6637282,Damini Lad,North Dumdum,Inactive,137089318,23-05-2024,39154,Mangoes,Fruits & Vegetables,Suresh   Bose and Bajwa,2,946.86,1893.72,Wallet,On Time,Not Applicable,3,Customer Service,Negative
61,75566105,Dipta Doctor,Hyderabad,Regular,139417019,09-07-2023,992178,Pain Reliever,Pharmacy,Basu and Sons,1,632.43,632.43,UPI,Slightly Delayed,Traffic,3,Product Quality,Neutral
62,27504517,Rayaan Gupta,Bardhaman,New,140980199,05-03-2024,492958,Lotion,Personal Care,Acharya PLC,2,84.2,168.4,UPI,Slightly Delayed,Traffic,3,Customer Service,Neutral
63,46686696,Wazir Seth,Thoothukudi,Premium,143399998,17-10-2024,187399,Frozen Pizza,Instant & Frozen Food,Chauhan Inc,2,53.49,106.98,UPI,Significantly Delayed,Traffic,5,Customer Service,Positive
64,54923640,Azad Nath,Gandhidham,Inactive,145057465,02-11-2024,26060,Vitamins,Pharmacy,Shah and Sons,3,342.94,1028.82,Cash,On Time,Not Applicable,2,Delivery,Negative
65,44149982,Tara Uppal,Yamunanagar,New,147066568,12-07-2024,832348,Biscuits,Snacks & Munchies,Jani-Ram,2,831.43,1662.86,Cash,On Time,Not Applicable,3,Customer Service,Neutral
66,60565603,Ladli Tara,Madhyamgram,New,148408710,01-01-2024,448752,Toilet Cleaner,Household Care,Batta-Doctor,2,160.07,320.14,Wallet,Slightly Delayed,Traffic,3,Product Quality,Neutral
67,24517523,Mohini Pillai,Tirunelveli,Premium,155295996,29-06-2024,365133,Dish Soap,Household Care,Hans Inc,3,915.45,2746.35,Cash,Slightly Delayed,Traffic,4,Delivery,Neutral
68,36517334,Ria Dua,Naihati,Premium,155568486,26-12-2023,807452,Pulses,Grocery & Staples,Naik Ltd,1,144.19,144.19,UPI,Slightly Delayed,Traffic,5,Product Quality,Positive
69,88779806,Ethan Taneja,Srinagar,Regular,155669553,06-04-2023,714999,Bread,Dairy & Breakfast,Kala Group,1,882.51,882.51,UPI,On Time,Not Applicable,4,Delivery,Positive
70,57331847,Jack Kamdar,Amravati,Regular,156346853,30-03-2023,490602,Sugar,Grocery & Staples,Raghavan Inc,1,549.47,549.47,Card,Significantly Delayed,Traffic,5,Customer Service,Positive
71,35358395,Hiral Kumar,Dindigul,Inactive,159394992,06-08-2024,473929,Carrots,Fruits & Vegetables,Bhardwaj   Bhatia and Deshmukh,1,440.19,440.19,Card,Slightly Delayed,Traffic,4,App Experience,Positive
72,61982521,Jagat Dewan,Faridabad,Inactive,163895717,02-11-2023,654623,Chips,Snacks & Munchies,Pradhan and Sons,2,422.14,844.28,UPI,On Time,Not Applicable,5,Product Quality,Positive
73,11071601,Ojas Ahuja,Buxar,Inactive,168067196,16-07-2024,563740,Chips,Snacks & Munchies,Mann-Kapadia,1,96.33,96.33,Cash,Slightly Delayed,Traffic,3,App Experience,Neutral
74,89910157,Dayamai Ray,Khandwa,New,168180571,16-03-2023,136533,Eggs,Dairy & Breakfast,Raghavan   Magar and Shanker,1,826.21,826.21,Cash,Slightly Delayed,Traffic,4,App Experience,Neutral
75,25128143,Odika Kannan,Mahbubnagar,Premium,168804744,28-10-2023,925482,Frozen Biryani,Instant & Frozen Food,Viswanathan-Sha,1,475.04,475.04,Card,On Time,Not Applicable,4,Delivery,Positive
76,10019218,Elijah Brar,Parbhani,New,169590729,23-05-2024,897083,Detergent,Household Care,Dutta-Halder,1,972.69,972.69,Cash,On Time,Not Applicable,4,Product Quality,Positive
77,59545278,Yagnesh Randhawa,Yamunanagar,New,169867835,16-08-2023,927651,Baby Wipes,Baby Care,Narula Group,3,426.72,1280.16,Wallet,On Time,Not Applicable,4,Customer Service,Positive
78,71607166,Inaya Sama,Rohtak,Inactive,172987148,03-11-2024,901144,Sugar,Grocery & Staples,Deo-Kamdar,3,340.36,1021.08,Cash,Significantly Delayed,Traffic,3,Product Quality,Negative
79,43034188,Ekaraj Bora,Sirsa,Inactive,173709007,09-10-2023,306177,Frozen Biryani,Instant & Frozen Food,Som Inc,3,769.24,2307.72,UPI,Significantly Delayed,Traffic,3,Product Quality,Neutral
80,87457446,Yashodhara Sarraf,Katihar,Premium,174306009,09-08-2024,832348,Biscuits,Snacks & Munchies,Jani-Ram,1,831.43,831.43,UPI,Significantly Delayed,Traffic,4,Delivery,Positive
81,65221572,Leela Bumb,Delhi,New,176509722,16-10-2023,883013,Eggs,Dairy & Breakfast,Chahal Group,1,989.88,989.88,UPI,On Time,Not Applicable,3,App Experience,Neutral
82,51174875,Sara Prasad,Saharsa,Inactive,177850987,07-11-2023,237083,Cough Syrup,Pharmacy,Hayer-Banerjee,2,577.13,1154.26,UPI,On Time,Not Applicable,3,App Experience,Neutral
83,2164524,Kamala Natt,Rohtak,Inactive,178737268,18-06-2023,942001,Cat Food,Pet Care,Acharya Ltd,3,671.55,2014.65,UPI,On Time,Not Applicable,3,Customer Service,Neutral
84,73098723,Abhiram Khare,Coimbatore,New,183165359,24-05-2023,762527,Biscuits,Snacks & Munchies,Chad   Yohannan and Chopra,3,690.08,2070.24,Wallet,Significantly Delayed,Traffic,4,Delivery,Positive
85,33331259,Leena Deol,Saharsa,Inactive,184844043,07-12-2023,349294,Onions,Fruits & Vegetables,Ganesan Ltd,3,934.75,2804.25,Card,On Time,Not Applicable,4,App Experience,Positive
86,67829645,Akshay Vohra,Jamalpur,New,186083059,01-07-2024,337168,Eggs,Dairy & Breakfast,Dasgupta PLC,3,545.49,1636.47,Wallet,Slightly Delayed,Traffic,5,Delivery,Positive
87,63262519,Benjamin Balakrishnan,Karaikudi,Regular,187728451,27-11-2023,880510,Bread,Dairy & Breakfast,Roy-Char,1,951.43,951.43,Wallet,On Time,Not Applicable,3,App Experience,Negative
88,58115779,Bhavna Ramaswamy,Katni,Regular,189431942,23-01-2024,51036,Baby Food,Baby Care,Karnik PLC,3,931.61,2794.83,UPI,On Time,Not Applicable,3,Customer Service,Negative
89,82854537,Yauvani Korpal,Varanasi,Inactive,192109127,16-09-2024,721521,Rice,Grocery & Staples,Ramanathan   Agarwal and Baria,2,417.39,834.78,Card,Slightly Delayed,Traffic,4,Delivery,Positive
90,88553721,Vritti Mangat,Kadapa,Regular,194459698,15-06-2023,760684,Rice,Grocery & Staples,Kanda-Gupta,1,71.6,71.6,Card,On Time,Not Applicable,3,Product Quality,Negative
91,88045094,Yuvraj Memon,Panvel,Premium,196885435,25-06-2023,451812,Pain Reliever,Pharmacy,Batra   Sant and Mandal,2,530.85,1061.7,Wallet,Slightly Delayed,Traffic,1,App Experience,Negative
92,99627097,Amara Narayanan,Raiganj,New,199903168,16-04-2023,847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,3,781.08,2343.24,UPI,On Time,Not Applicable,4,Customer Service,Neutral
93,8632679,Ayaan Bal,North Dumdum,Regular,200000051,04-10-2023,552496,Dish Soap,Household Care,Dhar PLC,1,508,508,UPI,On Time,Not Applicable,4,Customer Service,Positive
94,74840437,Rachit Arya,Korba,Inactive,202466684,08-08-2023,642612,Pet Treats,Pet Care,Pillay-Ahuja,1,517.03,517.03,Wallet,On Time,Not Applicable,4,Customer Service,Neutral
95,91320466,Laban Raju,Yamunanagar,Premium,203136866,11-06-2024,6405,Baby Food,Baby Care,Kashyap-Reddy,1,236.51,236.51,Wallet,On Time,Not Applicable,1,Delivery,Negative
96,94713625,Samar Deol,Barasat,Premium,208989475,16-03-2023,432617,Baby Wipes,Baby Care,Dora-Pillai,2,863.18,1726.36,Cash,On Time,Not Applicable,5,Delivery,Positive
97,2058037,Yutika Badal,Rajkot,Inactive,209044447,05-10-2024,757274,Pet Treats,Pet Care,Minhas   Kapoor and Sethi,2,98.32,196.64,Cash,Slightly Delayed,Traffic,4,Delivery,Positive
98,71235336,Gabriel Sawhney,Bokaro,Regular,210693801,21-08-2024,432617,Baby Wipes,Baby Care,Dora-Pillai,3,863.18,2589.54,UPI,Slightly Delayed,Traffic,3,Customer Service,Negative
99,51994597,Xavier Divan,Mira-Bhayandar,Regular,212856641,02-11-2024,26060,Vitamins,Pharmacy,Shah and Sons,1,342.94,342.94,Cash,On Time,Not Applicable,1,Product Quality,Negative
100,71252391,Mohini Johal,Kulti,New,213972345,14-06-2024,927651,Baby Wipes,Baby Care,Narula Group,3,426.72,1280.16,Card,Slightly Delayed,Traffic,4,Product Quality,Neutral
101,47125914,Yashoda Chacko,Kochi,Premium,214919848,06-01-2024,328457,Mango Drink,Cold Drinks & Juices,Hayre-Shere,1,858.57,858.57,Cash,Slightly Delayed,Traffic,4,App Experience,Neutral
102,70220141,Reyansh Dhaliwal,Sambalpur,Premium,218670241,07-06-2023,131748,Dog Food,Pet Care,Shroff   Wason and Dugar,1,81.35,81.35,UPI,Significantly Delayed,Traffic,5,App Experience,Positive
103,95428692,Janani Yohannan,Motihari,New,218821567,08-03-2024,589812,Detergent,Household Care,Bir PLC,3,163.03,489.09,Cash,On Time,Not Applicable,3,Customer Service,Neutral
104,51661209,Vasana Chandran,Bidhannagar,New,222955546,27-09-2023,566052,Pain Reliever,Pharmacy,Apte   Soman and Raju,1,87.3,87.3,Wallet,Significantly Delayed,Traffic,1,App Experience,Negative
105,76202036,Ishita Patla,Gwalior,Inactive,225195662,30-08-2024,658389,Popcorn,Snacks & Munchies,Chanda   Som and Vohra,2,152.55,305.1,Card,Slightly Delayed,Traffic,1,Customer Service,Negative
106,28111842,Charles Kannan,Tirunelveli,Premium,227162938,18-04-2024,991434,Cookies,Snacks & Munchies,Mital-Oza,2,237.62,475.24,Cash,On Time,Not Applicable,4,Customer Service,Neutral
107,11775073,Keya Ganesan,Morbi,Regular,227511348,01-08-2024,513199,Cola,Cold Drinks & Juices,Rastogi Inc,1,422.23,422.23,Card,Slightly Delayed,Traffic,4,Product Quality,Neutral
108,25287111,Lakshmi Ratti,Thane,Inactive,231328814,19-04-2024,820541,Toilet Cleaner,Household Care,Borde   Peri and Upadhyay,3,576.22,1728.66,Wallet,Slightly Delayed,Traffic,4,App Experience,Neutral
109,16379942,Harshil Kuruvilla,Orai,Inactive,233646065,19-09-2023,803607,Soap,Personal Care,Kadakia   Mohan and Sathe,1,949.73,949.73,Wallet,Slightly Delayed,Traffic,4,Delivery,Neutral
110,73869823,Nathan Ratti,Mysore,Regular,238484255,11-04-2024,354409,Pulses,Grocery & Staples,Bose-Pandit,3,325.08,975.24,Cash,Slightly Delayed,Traffic,2,App Experience,Negative
111,77320193,Aarush Das,Jalgaon,Premium,238520071,20-02-2024,537274,Pet Treats,Pet Care,Lal-Chauhan,2,702.71,1405.42,Cash,Slightly Delayed,Traffic,2,Product Quality,Negative
112,99627097,Amara Narayanan,Raiganj,New,239830094,17-08-2023,317242,Pulses,Grocery & Staples,Rastogi Group,3,198.15,594.45,Cash,On Time,Not Applicable,4,Customer Service,Neutral
113,64562786,Neel Sankar,Firozabad,Inactive,242240959,26-01-2024,60619,Iced Tea,Cold Drinks & Juices,Bhasin LLC,3,726.41,2179.23,Cash,Slightly Delayed,Traffic,5,Customer Service,Positive
114,46623192,Warinder Sastry,Nizamabad,New,243077069,25-04-2024,602241,Nuts,Snacks & Munchies,Bahl-Pau,1,976.55,976.55,UPI,Slightly Delayed,Traffic,3,Delivery,Negative
115,98225598,Neelima Som,Sambalpur,Premium,243819964,03-12-2023,880510,Bread,Dairy & Breakfast,Roy-Char,3,951.43,2854.29,Wallet,Slightly Delayed,Traffic,2,Product Quality,Negative
116,376144,Ira Chhabra,Anantapuram,Regular,246971181,30-07-2023,901144,Sugar,Grocery & Staples,Deo-Kamdar,1,340.36,340.36,UPI,Slightly Delayed,Traffic,3,Product Quality,Neutral
117,89531595,Balvan Bera,Jammu,Regular,252964377,31-05-2024,240179,Cough Syrup,Pharmacy,Ram-Suri,2,90.56,181.12,Cash,On Time,Not Applicable,4,Customer Service,Positive
118,16543242,Vihaan Korpal,Darbhanga,Premium,253430904,08-07-2023,14145,Spinach,Fruits & Vegetables,Thakur   Shah and Pingle,2,630.84,1261.68,UPI,On Time,Not Applicable,5,Delivery,Positive
119,61002154,Ridhi Datta,Imphal,Regular,259622674,05-05-2023,154179,Pain Reliever,Pharmacy,Barad   Devi and Andra,2,582.87,1165.74,Card,Slightly Delayed,Traffic,4,Product Quality,Positive
120,2566268,Arjun Ratta,Mysore,Premium,259772553,27-09-2023,34200,Lotion,Personal Care,Munshi-Grewal,2,319.8,639.6,Card,On Time,Not Applicable,3,Product Quality,Neutral
121,12059049,Jagdish Mander,Nizamabad,Regular,262562615,09-04-2023,264803,Vitamins,Pharmacy,Gole-Doshi,3,995.98,2987.94,Wallet,Slightly Delayed,Traffic,3,Delivery,Negative
122,49529811,Zayyan Swaminathan,Pimpri-Chinchwad,Regular,266072469,02-08-2023,432617,Baby Wipes,Baby Care,Dora-Pillai,3,863.18,2589.54,Wallet,Significantly Delayed,Traffic,4,App Experience,Positive
123,63368244,Jeevika Tara,Danapur,New,267738904,24-10-2023,606256,Frozen Biryani,Instant & Frozen Food,Agate Ltd,2,369.28,738.56,Card,Significantly Delayed,Traffic,5,Product Quality,Positive
124,47274329,Hemal Murthy,Ludhiana,New,271744331,21-08-2023,153019,Onions,Fruits & Vegetables,Aurora LLC,3,947.95,2843.85,UPI,On Time,Not Applicable,3,App Experience,Neutral
125,18567760,Ethan Natarajan,Fatehpur,Regular,274320517,23-08-2024,153019,Onions,Fruits & Vegetables,Aurora LLC,2,947.95,1895.9,Wallet,On Time,Not Applicable,4,App Experience,Positive
126,35278126,Harinakshi Arya,Tumkur,Premium,274530126,08-04-2023,851978,Vitamins,Pharmacy,Parsa-Bala,3,715.72,2147.16,Cash,Significantly Delayed,Traffic,3,App Experience,Negative
127,39140039,Upasna Naidu,Madhyamgram,New,274863669,11-04-2024,990993,Chocolates,Snacks & Munchies,Guha-Subramaniam,1,263.7,263.7,Wallet,On Time,Not Applicable,4,Customer Service,Neutral
128,89784343,Radhika Kaul,Dibrugarh,Premium,277376321,28-07-2024,94225,Toilet Cleaner,Household Care,Gulati   Ram and Sarkar,3,77.11,231.33,Wallet,On Time,Not Applicable,4,App Experience,Positive
129,88203688,Chavvi Karan,Chittoor,New,277502363,28-12-2023,667163,Orange Juice,Cold Drinks & Juices,Palla LLC,1,441.2,441.2,Card,Slightly Delayed,Traffic,3,App Experience,Neutral
130,1174162,Anirudh Vig,Guna,Premium,277700053,15-08-2023,552496,Dish Soap,Household Care,Dhar PLC,2,508,1016,UPI,Slightly Delayed,Traffic,4,App Experience,Positive
131,94137242,Rohan Mallick,Bhagalpur,New,278794976,18-03-2023,378676,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,3,881.42,2644.26,Cash,Slightly Delayed,Traffic,4,Delivery,Neutral
132,12967305,Bhavani Sood,Durg,New,279851011,11-04-2023,34186,Mangoes,Fruits & Vegetables,Mandal-Kar,3,925.65,2776.95,Card,On Time,Not Applicable,3,Delivery,Neutral
133,88520326,Chasmum Dhaliwal,Asansol,Premium,281421547,20-05-2023,760684,Rice,Grocery & Staples,Kanda-Gupta,2,71.6,143.2,Cash,On Time,Not Applicable,3,Product Quality,Negative
134,97492493,Alexander Ray,Singrauli,Inactive,282887897,19-09-2023,491521,Nuts,Snacks & Munchies,Karpe Inc,3,556.35,1669.05,Wallet,On Time,Not Applicable,2,App Experience,Negative
